bin_start,bin_end,count,probability
40.25071912375528,41.47529103507529,5,0.001
41.47529103507529,42.69986294639529,21,0.0042
42.69986294639529,43.9244348577153,34,0.0068
43.9244348577153,45.149006769035296,106,0.0212
45.149006769035296,46.3735786803553,149,0.0298
46.3735786803553,47.59815059167531,244,0.0488
47.59815059167531,48.82272250299531,327,0.0654
48.82272250299531,50.04729441431532,471,0.0942
50.04729441431532,51.271866325635315,473,0.0946
51.271866325635315,52.49643823695533,607,0.1214
52.49643823695533,53.721010148275326,621,0.1242
53.721010148275326,54.94558205959533,574,0.1148
54.94558205959533,56.17015397091534,451,0.0902
56.17015397091534,57.39472588223534,365,0.073
57.39472588223534,58.61929779355535,266,0.0532
58.61929779355535,59.843869704875345,167,0.0334
59.843869704875345,61.06844161619536,55,0.011
61.06844161619536,62.293013527515356,47,0.0094
62.293013527515356,63.51758543883536,11,0.0022
63.51758543883536,64.74215735015537,6,0.0012
