percentile,duration
0.0,40.25071912375528
0.01,43.6187846910757
0.02,44.56436160000378
0.03,45.019308497095565
0.04,45.414574097684
0.05,45.80015414294907
0.06,46.250194605781296
0.07,46.594988465933376
0.08,46.839000092673864
0.09,47.092581723109305
0.1,47.36038986016179
0.11,47.569897477397326
0.12,47.75540221194846
0.13,47.95280753580418
0.14,48.17040746450302
0.15,48.353994772837375
0.16,48.549055833908604
0.17,48.70415086187426
0.18,48.864502843544685
0.19,49.01519238515052
0.2,49.136569544189385
0.21,49.31259134634029
0.22,49.431685979526115
0.23,49.58732072278278
0.24,49.698439101875344
0.25,49.80046400852574
0.26,49.91092504436134
0.27,50.01971832051539
0.28,50.16008563391052
0.29,50.30641382357724
0.3,50.4896367241545
0.31,50.62972225539982
0.32,50.736618630113064
0.33,50.84066644410979
0.34,50.94368319488178
0.35,51.0597026491089
0.36,51.1919932466432
0.37,51.31526575168249
0.38,51.42201677248017
0.39,51.51524749637302
0.4,51.610221092249404
0.41,51.70391642877493
0.42,51.81578608204806
0.43,51.91118954910003
0.44,52.01648345889129
0.45,52.13250644825144
0.46,52.21945325673831
0.47,52.32008463217037
0.48,52.42144235381284
0.49,52.52171764178001
0.5,52.60798621958188
0.51,52.727910793672315
0.52,52.844774760214214
0.53,52.948492373416954
0.54,53.04020666413118
0.55,53.134984392712845
0.56,53.236629306513635
0.57,53.33026379487125
0.58,53.41235706706502
0.59,53.50143432465488
0.6,53.59961320488602
0.61,53.69578364229739
0.62,53.80910586078629
0.63,53.917439906813755
0.64,54.021642160245456
0.65,54.12040979451022
0.66,54.223495344499774
0.67,54.3247251617317
0.68,54.421493008323594
0.69,54.5169811358125
0.7,54.62417090511184
0.71,54.763822808238665
0.72,54.869014385788844
0.73,54.99367283465462
0.74,55.111384638958135
0.75,55.24814938084491
0.76,55.36590171696343
0.77,55.53704907264956
0.78,55.68604203220057
0.79,55.802216940612
0.8,55.926475578286585
0.81,56.062137309390735
0.82,56.221946678182746
0.83,56.35497483158291
0.84,56.50466350032137
0.85,56.67110789396383
0.86,56.84705738445533
0.87,57.04229683918466
0.88,57.22772306516886
0.89,57.397845774403635
0.9,57.639184631659724
0.91,57.886139781355055
0.92,58.06310716163758
0.93,58.30579863152932
0.94,58.544501269457264
0.95,58.8870030962778
0.96,59.16965980810982
0.97,59.5615222718419
0.98,60.294139519383045
0.99,61.33822416789446
1.0,64.74215735015537
